"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.227,0.559,0.15,0.45,0.4,-0.64,-0.45
"ClusIPW",0.76,0.51,0.02,0.61,0.74,0.19,0.18
"addIPW",0.781,0.482,-0.04,0.4,0.56,0.63,0.37
"Oracle",0.908,0.624,0.3,0.6,0.3,0.3,0.6
