"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.28,0.569,0.17,0.61,0.22,-0.61,-0.43
"ClusIPW",0.792,0.727,0.51,0.59,-0.21,0.45,0.37
"addIPW",0.856,0.475,-0.06,0.74,0.32,0.16,0.56
"Oracle",0.911,0.625,0.3,0.6,0.3,0.3,0.6
