"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.342,0.692,0.45,0.51,0.14,-0.67,-0.27
"ClusIPW",0.418,0.431,-0.17,0.77,-0.56,0.23,-0.1
"addIPW",0.855,0.741,0.54,0.35,0.36,0.45,0.5
"Oracle",0.911,0.624,0.3,0.6,0.3,0.3,0.6
