"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.556,0.701,0.47,0.79,0.12,-0.34,-0.16
"ClusIPW",0.709,0.609,0.27,0.23,0.09,0.88,0.3
"addIPW",0.824,0.761,0.58,0.31,0.18,0.52,0.51
"Oracle",0.913,0.625,0.3,0.6,0.3,0.3,0.6
