"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.42,0.609,0.27,0.64,0.1,-0.71,-0.05
"ClusIPW",0.76,0.384,-0.28,0.74,0.06,0.17,0.59
"addIPW",0.75,0.587,0.22,0.57,0.46,-0.36,0.54
"Oracle",0.919,0.626,0.3,0.6,0.3,0.3,0.6
