"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.273,0.529,0.08,0.64,0.11,-0.68,-0.33
"ClusIPW",0.614,0.421,-0.2,0.92,-0.27,0.04,0.2
"addIPW",0.687,0.624,0.31,0.7,-0.3,0.55,0.14
"Oracle",0.914,0.622,0.3,0.6,0.3,0.3,0.6
