"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.419,0.624,0.3,0.41,0.23,-0.81,0.15
"ClusIPW",0.17,0.676,0.41,0.09,0.52,-0.52,-0.52
"addIPW",0.498,1,1,0,0,0,0
"Oracle",0.913,0.626,0.3,0.6,0.3,0.3,0.6
