"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.34,0.623,0.3,0.58,0.26,-0.63,-0.32
"ClusIPW",0.306,0.481,-0.05,0.48,-0.63,-0.54,0.27
"addIPW",0.801,0.501,0.01,0.25,0.57,0.21,0.75
"Oracle",0.913,0.625,0.3,0.6,0.3,0.3,0.6
