"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.137,0.589,0.22,0.29,0.33,-0.7,-0.52
"ClusIPW",0.518,0.231,-0.59,0.7,0.04,0.36,0.16
"addIPW",0.319,0.491,-0.02,0.75,-0.3,-0.57,-0.13
"Oracle",0.909,0.623,0.3,0.6,0.3,0.3,0.6
