"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.288,0.598,0.23,0.44,0.44,-0.65,-0.37
"ClusIPW",0.649,0.438,-0.15,0.28,0,0.87,0.39
"addIPW",0.824,0.573,0.18,0.29,0.45,0.66,0.5
"Oracle",0.911,0.623,0.3,0.6,0.3,0.3,0.6
