"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.277,0.653,0.38,0.52,0.19,-0.59,-0.45
"ClusIPW",0.355,0.262,-0.54,-0.26,-0.1,0.33,0.72
"addIPW",0.37,0.343,-0.38,-0.23,-0.35,0.17,0.81
"Oracle",0.909,0.625,0.3,0.6,0.3,0.3,0.6
