"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.301,0.62,0.29,0.54,0.18,-0.72,-0.27
"ClusIPW",0.765,0.449,-0.13,0.86,-0.07,0.29,0.4
"addIPW",0.75,0.53,0.07,0.43,0.51,-0.29,0.68
"Oracle",0.918,0.626,0.3,0.6,0.3,0.3,0.6
