"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.393,0.599,0.24,0.62,0.32,-0.63,-0.24
"ClusIPW",0.805,0.488,-0.03,0.73,0.46,0.45,0.23
"addIPW",0.877,0.604,0.26,0.59,0.56,0.33,0.41
"Oracle",0.909,0.623,0.3,0.6,0.3,0.3,0.6
