"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.344,0.702,0.47,0.5,0.11,-0.68,-0.24
"ClusIPW",0.821,0.588,0.22,0.85,0.26,0.37,0.16
"addIPW",0.87,0.686,0.43,0.54,0.09,0.55,0.45
"Oracle",0.913,0.625,0.3,0.6,0.3,0.3,0.6
