"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.305,0.56,0.15,0.49,0.3,-0.78,-0.18
"ClusIPW",0.433,0.717,0.5,-0.31,0.02,-0.44,0.68
"addIPW",0.8,0.595,0.24,0.31,0.02,0.1,0.92
"Oracle",0.914,0.626,0.3,0.6,0.3,0.3,0.6
