"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.307,0.643,0.34,0.57,0.16,-0.63,-0.37
"ClusIPW",0.6,0.574,0.18,-0.02,-0.41,0.46,0.77
"addIPW",0.765,0.538,0.1,0.57,-0.17,-0.08,0.8
"Oracle",0.913,0.627,0.3,0.6,0.3,0.3,0.6
