"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.506,0.608,0.27,0.71,0.19,-0.62,0
"ClusIPW",0.685,0.61,0.27,0.22,-0.07,0.87,0.34
"addIPW",0.859,0.577,0.19,0.74,0.2,0.5,0.36
"Oracle",0.915,0.622,0.3,0.6,0.3,0.3,0.6
