"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.337,0.582,0.2,0.64,0.27,-0.6,-0.35
"ClusIPW",0.669,0.594,0.23,0.54,-0.54,0.24,0.54
"addIPW",0.887,0.537,0.1,0.72,0.25,0.34,0.55
"Oracle",0.917,0.626,0.3,0.6,0.3,0.3,0.6
