"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.36,0.718,0.5,0.46,0.34,-0.52,-0.38
"ClusIPW",0.769,0.449,-0.13,0.64,-0.12,0.55,0.51
"addIPW",0.843,0.774,0.6,0.54,0.02,0.25,0.54
"Oracle",0.921,0.626,0.3,0.6,0.3,0.3,0.6
