"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.342,0.641,0.34,0.61,0.24,-0.55,-0.39
"ClusIPW",0.491,0.725,0.51,-0.06,-0.28,-0.37,0.72
"addIPW",0.889,0.625,0.31,0.71,0.39,0.3,0.4
"Oracle",0.911,0.623,0.3,0.6,0.3,0.3,0.6
