"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.42,0.622,0.3,0.66,0.24,-0.62,-0.18
"ClusIPW",0.638,0.645,0.35,0.49,0.47,-0.54,0.35
"addIPW",0.703,0.526,0.07,0.88,0.14,-0.32,0.33
"Oracle",0.912,0.626,0.3,0.6,0.3,0.3,0.6
