"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.482,0.632,0.32,0.64,0.47,-0.46,-0.23
"ClusIPW",0.658,0.306,-0.45,0.6,-0.07,0.17,0.63
"addIPW",0.868,0.497,-0.01,0.7,0.18,0.37,0.59
"Oracle",0.903,0.62,0.3,0.6,0.3,0.3,0.6
