"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.528,0.727,0.52,0.54,0.42,-0.51,-0.08
"ClusIPW",0.695,0.716,0.5,-0.12,0.5,0.5,0.5
"addIPW",0.871,0.719,0.5,0.44,0.33,0.09,0.66
"Oracle",0.906,0.622,0.3,0.6,0.3,0.3,0.6
