"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.339,0.641,0.34,0.62,0.28,-0.44,-0.48
"ClusIPW",0.878,0.528,0.07,0.56,0.52,0.24,0.6
"addIPW",0.875,0.6,0.25,0.43,0.25,0.54,0.63
"Oracle",0.912,0.622,0.3,0.6,0.3,0.3,0.6
