"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.451,0.608,0.26,0.8,0.06,-0.49,-0.23
"ClusIPW",0.616,0.425,-0.19,0.82,-0.24,-0.23,0.43
"addIPW",0.826,0.489,-0.03,0.56,-0.05,0.46,0.69
"Oracle",0.916,0.625,0.3,0.6,0.3,0.3,0.6
