"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.336,0.619,0.29,0.59,0.33,-0.53,-0.42
"ClusIPW",0.191,0.595,0.24,0.07,-0.45,-0.8,0.29
"addIPW",0.8,0.585,0.21,0.79,-0.21,0.08,0.53
"Oracle",0.916,0.625,0.3,0.6,0.3,0.3,0.6
