"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.405,0.566,0.16,0.73,0.3,-0.49,-0.33
"ClusIPW",0.836,0.453,-0.12,0.75,0.15,0.31,0.55
"addIPW",0.75,0.433,-0.16,0.21,0.24,0.22,0.91
"Oracle",0.916,0.625,0.3,0.6,0.3,0.3,0.6
