"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.248,0.639,0.33,0.51,0.1,-0.67,-0.42
"ClusIPW",0.737,0.43,-0.17,0.81,0.34,0.44,0.12
"addIPW",0.842,0.65,0.35,0.64,0.18,-0.14,0.64
"Oracle",0.918,0.624,0.3,0.6,0.3,0.3,0.6
