"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.386,0.74,0.54,0.36,0.5,-0.46,-0.33
"ClusIPW",0.352,0.698,0.46,-0.46,-0.4,0.46,0.46
"addIPW",0.803,0.538,0.1,0.29,0.55,0.02,0.78
"Oracle",0.911,0.625,0.3,0.6,0.3,0.3,0.6
