"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.294,0.545,0.11,0.49,0.43,-0.68,-0.31
"ClusIPW",0.696,0.834,0.7,0.69,0.17,-0.06,0.08
"addIPW",0.874,0.636,0.33,0.4,0.24,0.6,0.56
"Oracle",0.913,0.625,0.3,0.6,0.3,0.3,0.6
