"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.413,0.674,0.41,0.68,0.13,-0.49,-0.32
"ClusIPW",0.492,0.566,0.17,0.44,-0.68,0.54,0.17
"addIPW",0.756,0.477,-0.06,0.65,-0.2,0.58,0.45
"Oracle",0.915,0.626,0.3,0.6,0.3,0.3,0.6
