"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.282,0.521,0.05,0.58,0.13,-0.77,-0.22
"ClusIPW",0.82,0.499,0,0.52,0.47,-0.06,0.71
"addIPW",0.815,0.502,0.01,0.48,0.09,0.68,0.55
"Oracle",0.911,0.624,0.3,0.6,0.3,0.3,0.6
