"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.459,0.645,0.35,0.62,0.42,-0.52,-0.22
"ClusIPW",0.542,0.276,-0.51,0.42,-0.3,0.32,0.61
"addIPW",0.812,0.611,0.27,0.2,0.33,0.64,0.6
"Oracle",0.913,0.623,0.3,0.6,0.3,0.3,0.6
