"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.248,0.58,0.2,0.45,0.49,-0.41,-0.59
"ClusIPW",0.207,0.447,-0.13,-0.52,-0.52,0.4,0.52
"addIPW",0.753,0.646,0.36,-0.02,0.56,0.15,0.73
"Oracle",0.913,0.624,0.3,0.6,0.3,0.3,0.6
