"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.431,0.606,0.26,0.61,0.45,-0.56,-0.22
"ClusIPW",0.828,0.606,0.25,0.27,0.67,0.38,0.52
"addIPW",0.852,0.548,0.12,0.61,0.56,0.41,0.36
"Oracle",0.909,0.625,0.3,0.6,0.3,0.3,0.6
