"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.414,0.607,0.26,0.62,0.32,-0.65,-0.15
"ClusIPW",0.277,0.718,0.49,0.49,0.16,-0.49,-0.49
"addIPW",0.868,0.549,0.12,0.61,0.57,0.24,0.47
"Oracle",0.91,0.625,0.3,0.6,0.3,0.3,0.6
