"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.251,0.643,0.34,0.45,0.1,-0.77,-0.29
"ClusIPW",0.574,0.361,-0.33,0.84,-0.23,-0.12,0.35
"addIPW",0.553,0.391,-0.27,0.34,0.4,-0.53,0.61
"Oracle",0.917,0.624,0.3,0.6,0.3,0.3,0.6
