"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.333,0.665,0.38,0.41,0.45,-0.62,-0.32
"ClusIPW",0.681,0.313,-0.43,0.63,0.02,0.14,0.63
"addIPW",0.842,0.598,0.24,0.75,-0.1,0.36,0.49
"Oracle",0.92,0.626,0.3,0.6,0.3,0.3,0.6
