"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.253,0.597,0.24,0.41,0.31,-0.77,-0.3
"ClusIPW",0.752,0.743,0.55,0.09,0.58,-0.02,0.6
"addIPW",0.794,0.655,0.37,0.9,0.05,0.12,0.2
"Oracle",0.914,0.625,0.3,0.6,0.3,0.3,0.6
