"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.295,0.599,0.24,0.53,0.31,-0.67,-0.35
"ClusIPW",0.576,0.408,-0.22,0.59,0.03,0.77,-0.05
"addIPW",0.799,0.605,0.26,0.7,-0.17,0,0.64
"Oracle",0.92,0.626,0.3,0.6,0.3,0.3,0.6
