"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.309,0.625,0.3,0.5,0.3,-0.69,-0.3
"ClusIPW",0.797,0.433,-0.16,0.69,-0.02,0.22,0.66
"addIPW",0.759,0.555,0.14,0.69,0.69,0.11,0.13
"Oracle",0.915,0.625,0.3,0.6,0.3,0.3,0.6
