"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.262,0.639,0.34,0.55,0.08,-0.64,-0.41
"ClusIPW",0.59,0.659,0.38,-0.36,0.48,0.16,0.68
"addIPW",0.832,0.636,0.33,0.69,-0.16,0.13,0.61
"Oracle",0.913,0.623,0.3,0.6,0.3,0.3,0.6
