"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.348,0.593,0.23,0.59,0.29,-0.66,-0.28
"ClusIPW",0.659,0.351,-0.36,0.68,-0.15,0.54,0.32
"addIPW",0.884,0.507,0.01,0.64,0.33,0.42,0.55
"Oracle",0.914,0.625,0.3,0.6,0.3,0.3,0.6
