"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.408,0.629,0.31,0.68,0.26,-0.54,-0.29
"ClusIPW",0.61,0.329,-0.41,0.57,-0.25,0.03,0.67
"addIPW",0.675,0.396,-0.25,0.11,0.09,0.52,0.8
"Oracle",0.908,0.623,0.3,0.6,0.3,0.3,0.6
