"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.394,0.598,0.24,0.55,0.21,-0.77,-0.04
"ClusIPW",0.68,0.35,-0.36,0.7,0.42,-0.12,0.43
"addIPW",0.725,0.612,0.27,0.62,-0.03,-0.35,0.65
"Oracle",0.914,0.624,0.3,0.6,0.3,0.3,0.6
