"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.405,0.689,0.44,0.65,0.19,-0.45,-0.37
"ClusIPW",0.556,0.469,-0.08,0.84,0.09,-0.5,0.16
"addIPW",0.793,0.527,0.07,0.18,0.63,0.39,0.64
"Oracle",0.916,0.625,0.3,0.6,0.3,0.3,0.6
