"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.41,0.604,0.26,0.46,0.23,-0.81,0.1
"ClusIPW",0.509,0.649,0.36,0.26,0.83,-0.34,-0.03
"addIPW",0.785,0.48,-0.05,0.83,-0.13,0.24,0.48
"Oracle",0.909,0.622,0.3,0.6,0.3,0.3,0.6
