"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.295,0.648,0.36,0.51,0.24,-0.64,-0.38
"ClusIPW",-0.294,0.342,-0.38,-0.18,-0.38,0.06,-0.82
"addIPW",0.073,0.3,-0.47,-0.45,-0.24,0.72,0.03
"Oracle",0.912,0.621,0.3,0.6,0.3,0.3,0.6
