"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.205,0.561,0.15,0.42,0.25,-0.79,-0.34
"ClusIPW",0.827,0.482,-0.05,0.59,0.1,0.59,0.53
"addIPW",0.853,0.518,0.05,0.58,0.26,0.6,0.48
"Oracle",0.915,0.624,0.3,0.6,0.3,0.3,0.6
