"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.395,0.629,0.31,0.51,0.41,-0.66,-0.21
"ClusIPW",0.815,0.604,0.26,0.29,0.1,0.1,0.91
"addIPW",0.817,0.642,0.34,0.48,0.63,-0.07,0.51
"Oracle",0.908,0.62,0.3,0.6,0.3,0.3,0.6
