"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.377,0.637,0.33,0.63,0.26,-0.57,-0.33
"ClusIPW",0.246,0.436,-0.16,-0.68,0.15,0.61,0.35
"addIPW",0.866,0.516,0.04,0.42,0.3,0.39,0.76
"Oracle",0.917,0.626,0.3,0.6,0.3,0.3,0.6
