"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.291,0.585,0.21,0.59,0.21,-0.66,-0.36
"ClusIPW",0.601,0.387,-0.27,0.89,-0.26,0.22,0.17
"addIPW",0.842,0.656,0.37,0.67,0.08,0.56,0.29
"Oracle",0.91,0.623,0.3,0.6,0.3,0.3,0.6
