"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.457,0.62,0.29,0.78,0.16,-0.47,-0.25
"ClusIPW",0.715,0.457,-0.11,0.72,-0.01,-0.27,0.63
"addIPW",0.778,0.381,-0.29,0.47,0.24,0.45,0.66
"Oracle",0.915,0.626,0.3,0.6,0.3,0.3,0.6
