"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.314,0.65,0.36,0.52,0.09,-0.73,-0.24
"ClusIPW",0.317,0.666,0.39,-0.54,0.52,-0.36,0.39
"addIPW",0.867,0.678,0.42,0.5,-0.01,0.3,0.69
"Oracle",0.908,0.625,0.3,0.6,0.3,0.3,0.6
