"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.366,0.565,0.16,0.56,0.39,-0.68,-0.21
"ClusIPW",0.753,0.51,0.03,0.84,0.34,0.43,0.04
"addIPW",0.854,0.594,0.23,0.85,0.23,0.06,0.41
"Oracle",0.909,0.623,0.3,0.6,0.3,0.3,0.6
