"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.372,0.587,0.21,0.65,0.34,-0.54,-0.34
"ClusIPW",0.892,0.588,0.22,0.72,0.15,0.32,0.55
"addIPW",0.861,0.665,0.4,0.76,0.03,0.31,0.41
"Oracle",0.911,0.623,0.3,0.6,0.3,0.3,0.6
