"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.282,0.652,0.36,0.49,0.12,-0.72,-0.31
"ClusIPW",0.734,0.332,-0.4,0.67,0.29,0.21,0.51
"addIPW",0.865,0.486,-0.04,0.64,0.27,0.49,0.53
"Oracle",0.907,0.624,0.3,0.6,0.3,0.3,0.6
