"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.455,0.627,0.31,0.7,0.33,-0.47,-0.29
"ClusIPW",0.649,0.477,-0.06,-0.16,0.27,0.21,0.92
"addIPW",0.772,0.763,0.58,0.1,0.25,0.07,0.77
"Oracle",0.908,0.626,0.3,0.6,0.3,0.3,0.6
