"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.318,0.603,0.25,0.46,0.31,-0.77,-0.19
"ClusIPW",0.738,0.387,-0.28,0.8,0.38,0.29,0.24
"addIPW",0.884,0.531,0.08,0.55,0.43,0.39,0.59
"Oracle",0.899,0.62,0.3,0.6,0.3,0.3,0.6
