"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.237,0.551,0.12,0.47,0.2,-0.82,-0.25
"ClusIPW",0.869,0.524,0.06,0.72,0.49,0.21,0.44
"addIPW",0.885,0.556,0.15,0.57,0.46,0.13,0.65
"Oracle",0.911,0.624,0.3,0.6,0.3,0.3,0.6
