"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.188,0.606,0.26,0.51,0.03,-0.66,-0.48
"ClusIPW",0.809,0.457,-0.11,0.38,0.46,0.12,0.79
"addIPW",0.876,0.552,0.13,0.75,0.11,0.4,0.5
"Oracle",0.91,0.622,0.3,0.6,0.3,0.3,0.6
