"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.319,0.607,0.25,0.62,0.15,-0.64,-0.35
"ClusIPW",0.537,0.588,0.22,0.37,-0.11,-0.63,0.63
"addIPW",0.846,0.556,0.14,0.78,0.01,0.12,0.6
"Oracle",0.919,0.626,0.3,0.6,0.3,0.3,0.6
