"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.289,0.642,0.34,0.26,0.62,-0.54,-0.37
"ClusIPW",0.682,0.695,0.46,0.15,-0.04,0.82,0.3
"addIPW",0.814,0.726,0.51,0.58,0.57,0.16,0.22
"Oracle",0.918,0.623,0.3,0.6,0.3,0.3,0.6
