"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.246,0.652,0.37,0.32,0.25,-0.79,-0.27
"ClusIPW",0.632,0.496,-0.01,-0.15,0.59,0.59,0.52
"addIPW",0.738,0.673,0.41,0.24,0.52,0.68,0.18
"Oracle",0.908,0.621,0.3,0.6,0.3,0.3,0.6
